time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260612020525.546574,172.16.40.122,54946,172.16.40.174,5001,3,28.0,29.0,29753344,238026752,227,0,0,353,250,4328,130
-0700:20260612020525.546481,172.16.40.122,0,172.16.40.174,5001,-1,28.0,29.0,117571584,940572672,897,0,0,3905805257111764992,0,0,0
-0700:20260612020526.546481,172.16.40.122,54948,172.16.40.174,5001,1,29.0,30.0,29360128,234881024,224,0,0,258,183,4291,116
-0700:20260612020526.546482,172.16.40.122,54942,172.16.40.174,5001,2,29.0,30.0,29097984,232783872,222,0,0,417,295,4267,106
-0700:20260612020526.546574,172.16.40.122,54946,172.16.40.174,5001,3,29.0,30.0,28966912,231735296,221,0,0,353,250,4323,136
-0700:20260612020526.546481,172.16.40.122,54944,172.16.40.174,5001,4,29.0,30.0,29491200,235929600,225,0,0,329,233,4318,134
-0700:20260612020526.546481,172.16.40.122,0,172.16.40.174,5001,-1,29.0,30.0,116916224,935329792,892,0,0,3905805257111764992,0,0,0
-0700:20260612020527.546481,172.16.40.122,54948,172.16.40.174,5001,1,30.0,31.0,29360128,234881024,224,0,0,258,183,4277,134
-0700:20260612020527.546481,172.16.40.122,54944,172.16.40.174,5001,4,30.0,31.0,28573696,228589568,218,0,0,329,233,4277,136
-0700:20260612020527.546482,172.16.40.122,54942,172.16.40.174,5001,2,30.0,31.0,29229056,233832448,223,0,0,417,295,4290,115
-0700:20260612020527.546574,172.16.40.122,54946,172.16.40.174,5001,3,30.0,31.0,29097984,232783872,222,0,0,353,250,4311,145
-0700:20260612020527.546481,172.16.40.122,0,172.16.40.174,5001,-1,30.0,31.0,116260864,930086912,887,0,0,3905805257111764992,0,0,0
-0700:20260612020528.546482,172.16.40.122,54942,172.16.40.174,5001,2,31.0,32.0,29229056,233832448,223,0,0,417,295,4249,97
-0700:20260612020528.546481,172.16.40.122,54948,172.16.40.174,5001,1,31.0,32.0,29229056,233832448,223,0,0,258,183,4288,103
-0700:20260612020528.546481,172.16.40.122,54944,172.16.40.174,5001,4,31.0,32.0,29360128,234881024,224,0,0,329,233,4335,133
-0700:20260612020528.546574,172.16.40.122,54946,172.16.40.174,5001,3,31.0,32.0,29491200,235929600,225,0,0,353,250,4323,132
-0700:20260612020528.546481,172.16.40.122,0,172.16.40.174,5001,-1,31.0,32.0,117309440,938475520,895,0,0,3905805257111764992,0,0,0
-0700:20260612020529.546481,172.16.40.122,54948,172.16.40.174,5001,1,32.0,33.0,29360128,234881024,224,0,0,258,183,4320,107
-0700:20260612020529.546481,172.16.40.122,54944,172.16.40.174,5001,4,32.0,33.0,29491200,235929600,225,0,0,329,233,4296,149
-0700:20260612020529.546482,172.16.40.122,54942,172.16.40.174,5001,2,32.0,33.0,29229056,233832448,223,0,0,417,295,4260,123
-0700:20260612020529.546574,172.16.40.122,54946,172.16.40.174,5001,3,32.0,33.0,28966912,231735296,221,0,0,353,250,4278,168
-0700:20260612020529.546481,172.16.40.122,0,172.16.40.174,5001,-1,32.0,33.0,117047296,936378368,893,0,0,3905805257111764992,0,0,0
-0700:20260612020530.546481,172.16.40.122,54948,172.16.40.174,5001,1,33.0,34.0,29360128,234881024,224,0,0,258,183,4264,142
-0700:20260612020530.546481,172.16.40.122,54944,172.16.40.174,5001,4,33.0,34.0,29360128,234881024,224,0,0,329,233,4268,173
-0700:20260612020530.546574,172.16.40.122,54946,172.16.40.174,5001,3,33.0,34.0,29622272,236978176,226,0,0,353,250,4297,168
-0700:20260612020530.546482,172.16.40.122,54942,172.16.40.174,5001,2,33.0,34.0,30015488,240123904,229,0,0,417,295,4265,115
-0700:20260612020530.546481,172.16.40.122,0,172.16.40.174,5001,-1,33.0,34.0,118358016,946864128,903,0,0,3905805257111764992,0,0,0
-0700:20260612020531.546574,172.16.40.122,54946,172.16.40.174,5001,3,34.0,35.0,28966912,231735296,221,0,0,353,250,4304,128
-0700:20260612020531.546481,172.16.40.122,54948,172.16.40.174,5001,1,34.0,35.0,29360128,234881024,224,0,0,258,183,4280,118
-0700:20260612020531.546481,172.16.40.122,54944,172.16.40.174,5001,4,34.0,35.0,29360128,234881024,224,0,0,329,233,4306,135
-0700:20260612020531.546482,172.16.40.122,54942,172.16.40.174,5001,2,34.0,35.0,29229056,233832448,223,0,0,417,295,4258,136
-0700:20260612020531.546481,172.16.40.122,0,172.16.40.174,5001,-1,34.0,35.0,116916224,935329792,892,0,0,3905805257111764992,0,0,0
-0700:20260612020532.546481,172.16.40.122,54948,172.16.40.174,5001,1,35.0,36.0,29229056,233832448,223,0,0,258,183,4313,100
-0700:20260612020532.546481,172.16.40.122,54944,172.16.40.174,5001,4,35.0,36.0,29360128,234881024,224,0,0,329,233,4305,139
-0700:20260612020532.546482,172.16.40.122,54942,172.16.40.174,5001,2,35.0,36.0,29229056,233832448,223,0,0,417,295,4257,121
-0700:20260612020532.546574,172.16.40.122,54946,172.16.40.174,5001,3,35.0,36.0,29753344,238026752,227,0,0,353,250,4319,134
-0700:20260612020532.546481,172.16.40.122,0,172.16.40.174,5001,-1,35.0,36.0,117571584,940572672,897,0,0,3905805257111764992,0,0,0
-0700:20260612020533.546481,172.16.40.122,54944,172.16.40.174,5001,4,36.0,37.0,28704768,229638144,219,0,0,329,233,4295,154
-0700:20260612020533.546574,172.16.40.122,54946,172.16.40.174,5001,3,36.0,37.0,28966912,231735296,221,0,0,353,250,4296,156
-0700:20260612020533.546481,172.16.40.122,54948,172.16.40.174,5001,1,36.0,37.0,29360128,234881024,224,0,0,258,183,4266,128
-0700:20260612020533.546482,172.16.40.122,54942,172.16.40.174,5001,2,36.0,37.0,29097984,232783872,222,0,0,417,295,4289,107
-0700:20260612020533.546481,172.16.40.122,0,172.16.40.174,5001,-1,36.0,37.0,116129792,929038336,886,0,0,3905805257111764992,0,0,0
-0700:20260612020534.546481,172.16.40.122,54944,172.16.40.174,5001,4,37.0,38.0,29360128,234881024,224,0,0,329,233,4326,133
-0700:20260612020534.546574,172.16.40.122,54946,172.16.40.174,5001,3,37.0,38.0,28835840,230686720,220,0,0,353,250,4345,133
-0700:20260612020534.546481,172.16.40.122,54948,172.16.40.174,5001,1,37.0,38.0,29360128,234881024,224,0,0,258,183,4298,109
-0700:20260612020534.546482,172.16.40.122,54942,172.16.40.174,5001,2,37.0,38.0,29229056,233832448,223,0,0,417,295,4287,124
-0700:20260612020534.546481,172.16.40.122,0,172.16.40.174,5001,-1,37.0,38.0,116785152,934281216,891,0,0,3905805257111764992,0,0,0
-0700:20260612020535.546481,172.16.40.122,54948,172.16.40.174,5001,1,38.0,39.0,28704768,229638144,219,0,0,258,183,4337,123
-0700:20260612020535.546481,172.16.40.122,54944,172.16.40.174,5001,4,38.0,39.0,29360128,234881024,224,0,0,329,233,4326,127
-0700:20260612020535.546482,172.16.40.122,54942,172.16.40.174,5001,2,38.0,39.0,29229056,233832448,223,0,0,417,295,4262,122
-0700:20260612020535.546574,172.16.40.122,54946,172.16.40.174,5001,3,38.0,39.0,29753344,238026752,227,0,0,353,250,4340,120
-0700:20260612020535.546481,172.16.40.122,0,172.16.40.174,5001,-1,38.0,39.0,117047296,936378368,893,0,0,3905805257111764992,0,0,0
-0700:20260612020536.546481,172.16.40.122,54948,172.16.40.174,5001,1,39.0,40.0,29360128,234881024,224,0,0,258,183,4241,129
