pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp1-hp3,eth_ip,cell-03,1,udp,0,60,enp1s0f0np0,10.10.2.3,8696.8,0,13.10,10.45,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-03,2,udp,0,60,enp1s0f0np0,10.10.2.3,8752.1,0,12.55,11.14,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-03,3,udp,0,60,enp1s0f0np0,10.10.2.3,8767.7,0,12.97,10.64,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-04,1,udp,1,60,enp1s0f0np0,10.10.2.3,8825.7,0,12.88,10.85,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-04,2,udp,1,60,enp1s0f0np0,10.10.2.3,8840.4,0,12.89,10.66,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-04,3,udp,1,60,enp1s0f0np0,10.10.2.3,8612.4,0,12.96,10.63,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-01,1,tcp,0,60,vlan100,10.10.40.5,10429.9,222,12.14,16.98,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-01,2,tcp,0,60,vlan100,10.10.40.5,17552.5,6882,9.53,22.78,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-01,3,tcp,0,60,vlan100,10.10.40.5,15782.3,10164,9.43,21.34,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-02,1,tcp,1,60,vlan100,10.10.40.5,17056.9,9560,9.05,22.69,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-02,2,tcp,1,60,vlan100,10.10.40.5,16373.5,10070,8.91,21.28,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-02,3,tcp,1,60,vlan100,10.10.40.5,17940.0,9404,9.22,23.59,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-03,1,udp,0,60,vlan100,10.10.40.5,7186.5,0,14.26,9.27,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-03,2,udp,0,60,vlan100,10.10.40.5,6902.3,0,15.13,8.83,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-03,3,udp,0,60,vlan100,10.10.40.5,7153.7,0,14.22,9.26,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-04,1,udp,1,60,vlan100,10.10.40.5,7146.5,0,14.34,9.11,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-04,2,udp,1,60,vlan100,10.10.40.5,6929.7,0,14.33,9.09,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-04,3,udp,1,60,vlan100,10.10.40.5,6907.2,0,14.43,9.04,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-01,1,tcp,0,60,cvlan100,10.10.41.5,13817.5,7484,9.02,22.21,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-01,2,tcp,0,60,cvlan100,10.10.41.5,15673.2,11108,8.37,23.88,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-01,3,tcp,0,60,cvlan100,10.10.41.5,13208.0,6212,9.52,21.43,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-02,1,tcp,1,60,cvlan100,10.10.41.5,8164.0,192,12.13,16.00,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-02,2,tcp,1,60,cvlan100,10.10.41.5,8666.4,347,11.63,16.76,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-02,3,tcp,1,60,cvlan100,10.10.41.5,15513.2,10195,8.41,24.00,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-03,1,udp,0,60,cvlan100,10.10.41.5,5772.8,0,14.18,9.52,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-03,2,udp,0,60,cvlan100,10.10.41.5,6023.9,0,13.42,10.19,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-03,3,udp,0,60,cvlan100,10.10.41.5,5762.1,0,14.33,9.40,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-04,1,udp,1,60,cvlan100,10.10.41.5,5801.7,0,14.28,9.46,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-04,2,udp,1,60,cvlan100,10.10.41.5,5738.2,0,14.33,9.38,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-04,3,udp,1,60,cvlan100,10.10.41.5,5907.0,0,14.08,9.63,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-01,1,tcp,0,60,vxlan10,192.168.100.2,11071.6,5157,9.19,19.53,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-01,2,tcp,0,60,vxlan10,192.168.100.2,8200.3,549,10.95,15.22,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-01,3,tcp,0,60,vxlan10,192.168.100.2,7753.6,290,10.69,14.87,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-02,1,tcp,1,60,vxlan10,192.168.100.2,12985.7,8452,8.51,22.31,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-02,2,tcp,1,60,vxlan10,192.168.100.2,13430.2,8853,7.78,22.99,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-02,3,tcp,1,60,vxlan10,192.168.100.2,7700.4,6167,11.04,14.34,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-03,1,udp,0,60,vxlan10,192.168.100.2,5786.3,0,9.91,14.27,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-03,2,udp,0,60,vxlan10,192.168.100.2,5795.6,0,9.72,14.40,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-03,3,udp,0,60,vxlan10,192.168.100.2,6019.0,0,9.72,14.48,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-04,1,udp,1,60,vxlan10,192.168.100.2,5780.1,0,9.85,14.30,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-04,2,udp,1,60,vxlan10,192.168.100.2,5746.7,0,9.88,14.26,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-04,3,udp,1,60,vxlan10,192.168.100.2,5982.3,0,9.69,14.45,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-01,1,tcp,0,60,lo,10.10.43.5,17072.6,15513,9.01,23.65,1,1,1,1,yes,ok
